Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 9927.65, 0.52, -0.589695, 0.29372,19258.3, 2.3425, -2.08379, 0.216226
8, 7660.35, 0.367696, -0.226637, 0.2896,13355.7, 1.10959, -1.13862, 0.212498
16, 5880.12, 0.26, 0.0584272, 0.288543,8240.39, 0.622785, -0.319519, 0.218343
32, 6846.01, 0.183848, -0.0962381, 0.289258,4135.72, 0.358135, 0.337755, 0.242608
64, 5484.54, 0.13, 0.121771, 0.285686,7354.21, 0.245453, -0.177616, 0.319089
128, 5835.45, 0.0919239, 0.0655797, 0.290263,7853.03, 0.156995, -0.257491, 0.467092
256, 6092.78, 0.065, 0.0243747, 0.290458,7036.6, 0.0952831, -0.126757, 0.729218
512, 6438.83, 0.0459619, -0.0310382, 0.296765,6319.14, 0.0544011, -0.0118714, 1.20985
1024, 6463.9, 0.0325, -0.0350521, 0.308075,6309.18, 0.0282742, -0.0102775, 2.24371
2048, 6325.26, 0.022981, -0.0128511, 0.319214,6141.48, 0.00692469, 0.0165766, 4.18568
