Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.215382, 0.406932,24073.1, 2.42065, -1.55418, 0.294425
8, 11295.8, 0.367696, -0.19849, 0.398744,19016.6, 1.1541, -1.01768, 0.291055
16, 9384.83, 0.26, 0.00426201, 0.392874,11158.5, 0.643745, -0.183927, 0.297443
32, 11106.9, 0.183848, -0.178451, 0.391686,6562.2, 0.380337, 0.303746, 0.316601
64, 7966.37, 0.13, 0.154761, 0.393752,11177.8, 0.259241, -0.185977, 0.37667
128, 8171.42, 0.0919239, 0.133005, 0.395652,11862.7, 0.167197, -0.258639, 0.496849
256, 9082.97, 0.065, 0.0362899, 0.391326,10889.8, 0.103931, -0.155412, 0.72477
512, 9237.76, 0.0459619, 0.019866, 0.402764,9669.76, 0.0615888, -0.0259692, 1.15542
1024, 9228.25, 0.0325, 0.0208751, 0.403784,9628.29, 0.034823, -0.0215697, 2.08649
2048, 9139.82, 0.022981, 0.0302583, 0.423194,9156.24, 0.015588, 0.0285155, 3.9446
