Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.283471, 0.403237,24073.1, 2.42065, -1.69727, 0.289133
8, 11295.8, 0.367696, -0.265632, 0.395655,16903.6, 1.13924, -0.893957, 0.286686
16, 9384.83, 0.26, -0.0515216, 0.396353,9884.25, 0.635396, -0.107479, 0.301691
32, 10179.7, 0.183848, -0.140584, 0.394612,5802.09, 0.374515, 0.349906, 0.318364
64, 7561.44, 0.13, 0.152779, 0.394269,10505.6, 0.257239, -0.1771, 0.385217
128, 7694.62, 0.0919239, 0.137857, 0.393308,10804.9, 0.16494, -0.210636, 0.496934
256, 8471.57, 0.065, 0.0508041, 0.396563,10072.8, 0.102439, -0.128609, 0.732067
512, 8603.48, 0.0459619, 0.0360248, 0.40172,9155.58, 0.060713, -0.0258352, 1.22378
1024, 8721.82, 0.0325, 0.0227649, 0.409571,9187.55, 0.0341588, -0.029417, 2.12219
2048, 8632.67, 0.022981, 0.032754, 0.426468,8702.94, 0.0147711, 0.0248804, 4.08446
