Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 9927.65, 0.52, -0.750908, 0.0757169,15406.4, 2.26612, -1.71719, 0.0572129
8, 6004.06, 0.367696, -0.0589167, 0.0728066,11871.6, 1.09479, -1.09376, 0.0570599
16, 5347.58, 0.26, 0.0568637, 0.0721845,7299.34, 0.614314, -0.287361, 0.061761
32, 6314.28, 0.183848, -0.113629, 0.0738319,3656.63, 0.352035, 0.355091, 0.0749842
64, 5238.3, 0.13, 0.0761373, 0.0704379,6396.27, 0.240703, -0.12809, 0.116794
128, 5096.86, 0.0919239, 0.101082, 0.0701585,6720.99, 0.152978, -0.18536, 0.197147
256, 5470.46, 0.065, 0.035192, 0.0738399,6284.25, 0.0929152, -0.108334, 0.330629
512, 5780.08, 0.0459619, -0.0194138, 0.0787559,5742.86, 0.0526514, -0.0128497, 0.547004
1024, 5823.78, 0.0325, -0.0271209, 0.0843373,5700.06, 0.0264614, -0.00530122, 0.937157
2048, 5793.92, 0.022981, -0.0218546, 0.100794,5594.65, 0.0015542, 0.0132893, 1.4707
