Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 6768.85, 0.52, -1.15843, 0.0539231,5047.71, 1.90835, -0.609601, 0.0400998
8, 5331.6, 0.367696, -0.700129, 0.0513043,5855.41, 1.00631, -0.867158, 0.0405787
16, 3257.72, 0.26, -0.0388147, 0.049562,4229.41, 0.575495, -0.348664, 0.0445569
32, 3072.62, 0.183848, 0.0202113, 0.0500091,2304.37, 0.328371, 0.265188, 0.0584037
64, 2884.68, 0.13, 0.0801388, 0.0487477,3717.14, 0.221368, -0.185314, 0.096665
128, 2975.33, 0.0919239, 0.0512342, 0.0499943,3468.13, 0.134632, -0.105907, 0.171316
256, 3287.51, 0.065, -0.0483145, 0.0501722,3328.19, 0.0783072, -0.0612835, 0.292376
512, 3453.38, 0.0459619, -0.101207, 0.056362,3081.35, 0.039415, 0.0174271, 0.493737
1024, 3307.82, 0.0325, -0.0547896, 0.0640859,3126.89, 0.0106585, 0.00290475, 0.803196
2048, 3225.37, 0.022981, -0.0284967, 0.0792433,3112.37, -nan, 0.00753405, 1.19499
