Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 20900.3, 0.52, 0.0926321, 0.854908,73467.4, 2.84014, -2.18952, 0.612299
8, 20043.6, 0.367696, 0.129825, 0.86199,61755.4, 1.30455, -1.68105, 0.620421
16, 23520.5, 0.26, -0.0211204, 0.849892,31276.9, 0.713105, -0.357857, 0.624398
32, 26072.8, 0.183848, -0.131925, 0.843574,17036.2, 0.423433, 0.260389, 0.650715
64, 23588.5, 0.13, -0.0240731, 0.849062,27473.7, 0.286893, -0.192745, 0.727814
128, 22925.5, 0.0919239, 0.00471026, 0.847952,31626.6, 0.189368, -0.37304, 0.875672
256, 23742.7, 0.065, -0.0307666, 0.850907,29316, 0.121324, -0.272729, 1.1171
512, 22966.5, 0.0459619, 0.00292892, 0.880991,25703.6, 0.0755757, -0.115896, 1.68371
1024, 23777.9, 0.0325, -0.0322955, 0.879913,23821.2, 0.045812, -0.0341753, 2.69001
2048, 23264.6, 0.022981, -0.0100092, 0.882195,22647.3, 0.0261798, 0.0167874, 4.83407
