Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 9927.65, 0.52, -0.702856, 0.164006,15406.4, 2.26612, -1.64261, 0.12271
8, 7660.35, 0.367696, -0.313954, 0.157688,11871.6, 1.09479, -1.0363, 0.117889
16, 5880.12, 0.26, -0.00859727, 0.155677,7755.61, 0.618556, -0.330293, 0.12317
32, 6659.09, 0.183848, -0.14221, 0.154112,3770.93, 0.353568, 0.353185, 0.140397
64, 5424.54, 0.13, 0.0695469, 0.154831,6700.85, 0.242296, -0.149374, 0.198338
128, 5253.04, 0.0919239, 0.0989635, 0.157747,7097.33, 0.154395, -0.217381, 0.298857
256, 5600.11, 0.065, 0.0394315, 0.155954,6458.14, 0.0934922, -0.107743, 0.469158
512, 5905.87, 0.0459619, -0.0130136, 0.161772,5867.47, 0.0530492, -0.00642766, 0.809507
1024, 5996.94, 0.0325, -0.0286343, 0.170417,5840.89, 0.0269083, -0.00186745, 1.43084
2048, 5939.98, 0.022981, -0.0188641, 0.185767,5721.72, 0.00365816, 0.0185722, 2.536
