Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 20900.3, 0.52, -0.195944, 1.41008,73467.4, 2.84014, -3.2039, 1.0129
8, 16979.6, 0.367696, 0.0284031, 1.39656,48794.1, 1.27415, -1.79207, 1.01785
16, 21390.3, 0.26, -0.223983, 1.40421,24541.7, 0.697013, -0.404306, 1.0304
32, 23366.6, 0.183848, -0.337069, 1.40265,13734.7, 0.413985, 0.214083, 1.05796
64, 20119.6, 0.13, -0.151273, 1.40158,22112.9, 0.280433, -0.265329, 1.14859
128, 18811, 0.0919239, -0.0763909, 1.40377,25236.9, 0.184487, -0.444091, 1.32958
256, 17781.1, 0.065, -0.0174607, 1.40135,22488.8, 0.116915, -0.286838, 1.70412
512, 17149.9, 0.0459619, 0.0186586, 1.41451,19445, 0.071859, -0.112671, 2.47108
1024, 17417, 0.0325, 0.00337793, 1.4232,18071.4, 0.0427603, -0.034069, 4.2389
2048, 17647.6, 0.022981, -0.00982056, 1.44333,17255.3, 0.0235058, 0.0126267, 7.61584
