Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 6768.85, 0.52, 0.28182, 0.461168,5047.71, 1.90835, 0.464434, 0.285233
8, 6942.19, 0.367696, 0.263428, 0.447297,5204.7, 0.991587, 0.447778, 0.277892
16, 8360.53, 0.26, 0.112941, 0.448976,11158.5, 0.643745, -0.183927, 0.288389
32, 9498.31, 0.183848, -0.00777864, 0.444957,7893.04, 0.388948, 0.162543, 0.314544
64, 11499.7, 0.13, -0.220129, 0.446506,10836.5, 0.258242, -0.149763, 0.383509
128, 10016.1, 0.0919239, -0.062718, 0.451435,11588.9, 0.166635, -0.229592, 0.514306
256, 9718.36, 0.065, -0.0311257, 0.44144,11590.7, 0.10511, -0.229786, 0.790307
512, 9307.99, 0.0459619, 0.0124146, 0.455122,9688.65, 0.0616199, -0.0279732, 1.26349
1024, 9273.06, 0.0325, 0.0161207, 0.468246,9124.98, 0.0340609, 0.0318325, 2.23242
2048, 9096.69, 0.022981, 0.0348345, 0.478699,9295.87, 0.0158233, 0.0137006, 4.17774
