Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 1.15073, 0.52, 0.999878, 0.238451,inf, inf, -inf, 0.492148
8, 1.06825, 0.367696, 0.999887, 0.233648,inf, inf, -inf, 0.579695
16, 1.03262, 0.26, 0.99989, 0.231298,9.10822e+248, 5.35528e+07, -9.66389e+244, 0.624495
32, 1.01596, 0.183848, 0.999892, 0.232962,1.11226e+127, 90.1086, -1.18011e+123, 0.719102
64, 1.00789, 0.13, 0.999893, 0.230429,6.98407e+64, 2.9172, -7.41015e+60, 0.771486
128, 1.00393, 0.0919239, 0.999893, 0.234957,3.40438e+33, 0.863874, -3.61208e+29, 0.86028
256, 1.00196, 0.065, 0.999894, 0.236779,8.60001e+17, 0.381299, -9.12468e+13, 0.994439
512, 1.00098, 0.0459619, 0.999894, 0.235594,1.83244e+10, 0.180377, -1.94424e+06, 1.16526
1024, 1.00049, 0.0325, 0.999894, 0.245086,3.73234e+06, 0.0840064, -395.004, 1.38835
2048, 1.00024, 0.022981, 0.999894, 0.245155,75076.7, 0.0356531, -6.9657, 1.95015
