Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 2.77259, 0.52, 0.999706, 0.299763,73467.4, 2.84014, -6.79495, 0.202527
8, 5.54518, 0.367696, 0.999412, 0.293314,78159.4, 1.33514, -7.29277, 0.200182
16, 11.0904, 0.26, 0.998823, 0.288611,37515.7, 0.725096, -2.98044, 0.209145
32, 22.1807, 0.183848, 0.997647, 0.288593,14163.9, 0.415344, -0.502804, 0.237298
64, 44.3614, 0.13, 0.995293, 0.285291,16470.4, 0.271458, -0.747524, 0.294338
128, 88.7228, 0.0919239, 0.990586, 0.287736,14523.2, 0.171992, -0.540923, 0.416186
256, 177.446, 0.065, 0.981173, 0.290592,10932.3, 0.104005, -0.159925, 0.635348
512, 354.891, 0.0459619, 0.962346, 0.293965,8926.24, 0.060302, 0.0529192, 1.09102
1024, 709.783, 0.0325, 0.924691, 0.310223,9018.71, 0.0338923, 0.0431077, 2.04517
2048, 1419.57, 0.022981, 0.849383, 0.316889,9355.06, 0.0159209, 0.00742085, 3.81085
