Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.215382, 0.413404,24073.1, 2.42065, -1.55418, 0.29109
8, 11295.8, 0.367696, -0.19849, 0.393471,19016.6, 1.1541, -1.01768, 0.291097
16, 9384.83, 0.26, 0.00426201, 0.397462,11158.5, 0.643745, -0.183927, 0.299339
32, 11106.9, 0.183848, -0.178451, 0.400619,6562.2, 0.380337, 0.303746, 0.322549
64, 7966.37, 0.13, 0.154761, 0.397279,11177.8, 0.259241, -0.185977, 0.379003
128, 8171.42, 0.0919239, 0.133005, 0.393628,11862.7, 0.167197, -0.258639, 0.508163
256, 9082.97, 0.065, 0.0362899, 0.396434,10889.8, 0.103931, -0.155412, 0.730535
512, 9237.76, 0.0459619, 0.019866, 0.408697,9669.76, 0.0615888, -0.0259692, 1.1781
1024, 9228.25, 0.0325, 0.0208751, 0.416289,9628.29, 0.034823, -0.0215697, 2.07749
2048, 9139.82, 0.022981, 0.0302583, 0.432681,9156.24, 0.015588, 0.0285155, 4.03012
