Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.145498, 4.42547,30091.7, 2.50062, -2.00917, 3.18347
8, 11295.8, 0.367696, -0.129577, 4.41982,16903.6, 1.13924, -0.690356, 3.19228
16, 11711.6, 0.26, -0.171165, 4.42033,14221, 0.66031, -0.422101, 3.19259
32, 13333.3, 0.183848, -0.333334, 4.41228,11419, 0.405764, -0.141901, 3.27068
64, 10068.3, 0.13, -0.00683303, 4.42172,10669.8, 0.257741, -0.0669782, 3.39545
128, 9470.45, 0.0919239, 0.0529547, 4.42603,11233.7, 0.165884, -0.123368, 3.67584
256, 9926.31, 0.065, 0.00736928, 4.43116,9687.65, 0.101685, 0.0312351, 4.56834
512, 10026.7, 0.0459619, -0.0026709, 4.42643,9632.09, 0.0615266, 0.0367906, 6.02156
1024, 9888.21, 0.0325, 0.0111788, 4.4322,9846.92, 0.0351368, 0.0153084, 9.83448
2048, 9774.05, 0.022981, 0.0225946, 4.4531,9808.74, 0.0166315, 0.019126, 20.6558
