Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 11455, 0.52, -0.145498, 0.310488,2066.95, 1.64717, 0.793305, 0.22168
8, 11295.8, 0.367696, -0.129577, 0.302914,3655.13, 0.947383, 0.634487, 0.218983
16, 11711.6, 0.26, -0.171165, 0.299261,7299.34, 0.614314, 0.270066, 0.226142
32, 13333.3, 0.183848, -0.333334, 0.304481,10737.4, 0.402997, -0.0737379, 0.248459
64, 10068.3, 0.13, -0.00683303, 0.304383,9137.24, 0.252685, 0.0862763, 0.284111
128, 9470.45, 0.0919239, 0.0529547, 0.30252,9392.49, 0.161498, 0.0607514, 0.367954
256, 9926.31, 0.065, 0.00736928, 0.292062,9574.99, 0.101458, 0.0425008, 0.534827
512, 10026.7, 0.0459619, -0.0026709, 0.308584,9227.33, 0.0608388, 0.0772675, 0.841883
1024, 9888.21, 0.0325, 0.0111788, 0.310547,10229, 0.0356625, -0.0229027, 1.48954
2048, 9774.05, 0.022981, 0.0225946, 0.33333,10075.7, 0.0170212, -0.0075689, 2.72965
