Buckets, Cardinality, PredictedError, RealError, Time,CardinalityREC, PredictedErrorREC, RealErrorREC, TimeREC
4, 23359.2, 0.52, -0.44944, 0.314444,114793, 3.02267, -6.12294, 0.231613
8, 24016.2, 0.367696, -0.49021, 0.314442,9379.83, 1.06526, 0.41798, 0.224579
16, 27889, 0.26, -0.730516, 0.309686,14221, 0.66031, 0.117584, 0.234659
32, 24947.6, 0.183848, -0.548003, 0.307686,13318.5, 0.412623, 0.173588, 0.248995
64, 16940.6, 0.13, -0.0511661, 0.295931,12267.6, 0.262218, 0.238791, 0.274785
128, 17579.6, 0.0919239, -0.0908141, 0.299169,14636.7, 0.172174, 0.0917925, 0.360351
256, 17140.4, 0.065, -0.063562, 0.294395,16527.2, 0.111581, -0.0255158, 0.523872
512, 16867.1, 0.0459619, -0.0466032, 0.313607,16473.1, 0.0695568, -0.0221586, 0.848728
1024, 17051.8, 0.0325, -0.0580643, 0.343203,16026.8, 0.041364, 0.0055328, 1.51362
2048, 16240, 0.022981, -0.00769489, 0.340134,15881.1, 0.022627, 0.0145765, 2.5894
